Confirmed cases (PCR positive),Total confirmed cases (cumulative),Probable cases (Antigen positive),Total probable cases (cumulative),Total positive cases (cumulative),
3/5/20,1,1,-,-,1
3/6/20,0,1,-,-,1
3/7/20,1,2,-,-,2
3/8/20,0,2,-,-,2
3/9/20,3,5,-,-,5
3/10/20,6,11,-,-,11
3/11/20,10,21,-,-,21
3/12/20,22,43,-,-,43
3/13/20,19,62,-,-,62
3/14/20,28,90,-,-,90
3/15/20,38,128,-,-,128
3/16/20,51,179,-,-,179
3/17/20,67,246,-,-,246
3/18/20,23,269,-,-,269
3/19/20,18,287,-,-,287
3/20/20,16,303,-,-,303
3/21/20,24,327,-,-,327
3/22/20,22,349,-,-,349
3/23/20,45,394,-,-,394
3/24/20,51,445,-,-,445
3/25/20,58,503,-,-,503
3/26/20,63,566,-,-,566
3/27/20,75,641,-,-,641
3/28/20,47,688,-,-,688
3/29/20,38,726,-,-,726
3/30/20,98,824,-,-,824
3/31/20,93,917,-,-,917
4/1/20,58,975,-,-,975
4/2/20,85,"1,060",-,-,"1,060"
4/3/20,63,"1,123",-,-,"1,123"
4/4/20,38,"1,161",-,-,"1,161"
4/5/20,60,"1,221",-,-,"1,221"
4/6/20,113,"1,334",-,-,"1,334"
4/7/20,103,"1,437",-,-,"1,437"
4/8/20,102,"1,539",-,-,"1,539"
4/9/20,103,"1,642",-,-,"1,642"
4/10/20,95,"1,737",-,-,"1,737"
4/11/20,74,"1,811",-,-,"1,811"
4/12/20,57,"1,868",-,-,"1,868"
4/13/20,147,"2,015",-,-,"2,015"
4/14/20,156,"2,171",-,-,"2,171"
4/15/20,152,"2,323",-,-,"2,323"
4/16/20,184,"2,507",-,-,"2,507"
4/17/20,180,"2,687",-,-,"2,687"
4/18/20,123,"2,810",-,-,"2,810"
4/19/20,126,"2,936",-,-,"2,936"
4/20/20,277,"3,213",-,-,"3,213"
4/21/20,263,"3,476",-,-,"3,476"
4/22/20,307,"3,783",-,-,"3,783"
4/23/20,536,"4,319",-,-,"4,319"
4/24/20,524,"4,843",-,-,"4,843"
4/25/20,340,"5,183",-,-,"5,183"
4/26/20,386,"5,569",-,-,"5,569"
4/27/20,681,"6,250",-,-,"6,250"
4/28/20,608,"6,858",-,-,"6,858"
4/29/20,686,"7,544",-,-,"7,544"
4/30/20,651,"8,195",-,-,"8,195"
5/1/20,623,"8,818",-,-,"8,818"
5/2/20,337,"9,155",-,-,"9,155"
5/3/20,340,"9,495",-,-,"9,495"
5/4/20,825,"10,320",-,-,"10,320"
5/5/20,650,"10,970",-,-,"10,970"
5/6/20,642,"11,612",-,-,"11,612"
5/7/20,818,"12,430",-,-,"12,430"
5/8/20,714,"13,144",-,-,"13,144"
5/9/20,280,"13,424",-,-,"13,424"
5/10/20,230,"13,654",-,-,"13,654"
5/11/20,821,"14,475",-,-,"14,475"
5/12/20,662,"15,137",-,-,"15,137"
5/13/20,736,"15,873",-,-,"15,873"
5/14/20,799,"16,672",-,-,"16,672"
5/15/20,797,"17,469",-,-,"17,469"
5/16/20,344,"17,813",-,-,"17,813"
5/17/20,312,"18,125",-,-,"18,125"
5/18/20,972,"19,097",-,-,"19,097"
5/19/20,859,"19,956",-,-,"19,956"
5/20/20,768,"20,724",-,-,"20,724"
5/21/20,986,"21,710",-,-,"21,710"
5/22/20,791,"22,501",-,-,"22,501"
5/23/20,401,"22,902",-,-,"22,902"
5/24/20,358,"23,260",-,-,"23,260"
5/25/20,411,"23,671",-,-,"23,671"
5/26/20,801,"24,472",-,-,"24,472"
5/27/20,683,"25,155",-,-,"25,155"
5/28/20,577,"25,732",-,-,"25,732"
5/29/20,459,"26,191",-,-,"26,191"
5/30/20,169,"26,360",-,-,"26,360"
5/31/20,143,"26,503",-,-,"26,503"
6/1/20,588,"27,091",-,-,"27,091"
